question_id,question,model,model_version,rag_enabled,prompt,response,retrieved_sources,timestamp_utc,correctness,impact,likelihood,risk_score,notes
4,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?",Claude,claude-haiku-4-5,True,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?","# AWS Backup Cross-Region Snapshot Copies to Air-Gapped Vaults

## Key Capability

AWS Backup supports cross-Region database snapshot copies to logically air-gapped vaults for:
- Amazon Aurora
- Amazon Neptune
- Amazon DocumentDB

## The 2026 Simplification

The major change in February 2026 was enabling **single-action cross-Region copies directly to air-gapped vaults**, eliminating a two-step process that was previously required.

### Before (Previous Process)
1. Copy snapshots to the target Region in a backup vault
2. Copy them again to the logically air-gapped vault in the same Region

### After (2026 Update)
- Complete the entire process in **one step** directly to the air-gapped vault in the target Region

## Benefits of This Simplification

- **Faster RPOs** (Recovery Point Objectives)
- **Cost reduction** by eliminating intermediate copy steps
- **Removed complexity** – no need for custom scripts or AWS Lambda functions to monitor intermediate copy status
- **Cross-account protection** also supported
- **Ransomware and outage resilience** by protecting against incidents affecting production accounts or primary Regions

The feature is available across all AWS Regions where AWS Backup supports these databases and logically air-gapped vaults, accessible through the AWS Management Console, CLI, and SDKs.",https://aws.amazon.com/about-aws/whats-new/2026/02/aws-backup-adds-cross-region-database-snapshot-logically-air-gapped-vaults/ | https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/ | https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/,2026-03-30T20:25:08.222808+00:00,Correct,,,,"The model response accurately describes AWS Backup's support for cross-Region snapshot copies to logically air-gapped vaults and correctly identifies the 2026 simplification as a single-action copy feature. It includes relevant details about the previous and current processes, aligning with the verified reference."
4,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?",Gemma,gemma-3-27b-it,True,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?","AWS Backup supports cross-Region database snapshot copies to logically air-gapped vaults for Amazon Aurora, Amazon Neptune, and Amazon DocumentDB.

Previously, this required a two-step process: copying snapshots to the target Region, *then* to the air-gapped vault. In February 2026, AWS Backup streamlined this to a single-step process, eliminating the intermediate copy and associated costs/scripts.",https://aws.amazon.com/about-aws/whats-new/2026/02/aws-backup-adds-cross-region-database-snapshot-logically-air-gapped-vaults/ | https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/ | https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/,2026-03-30T20:25:15.886525+00:00,Incorrect,,,,"The model response is missing the mention of copying into 'backup vaults' before the air-gapped vaults, which is a key requirement in the two-step process. Additionally, it does not specify that the change simplifies the workflow directly, which is central to the question."
5,"Does Amazon Bedrock support structured outputs for foundation models, and how can developers enforce a specific response format?",ChatGPT,gpt-4o-mini,True,"Does Amazon Bedrock support structured outputs for foundation models, and how can developers enforce a specific response format?","Yes, Amazon Bedrock supports structured outputs for foundation models. Developers can enforce a specific response format by utilizing the **JSON Schema output format** feature. This allows them to specify a JSON schema that defines the required fields and their types, ensuring that model responses conform to the specified format.

Moreover, Amazon Bedrock uses **constrained decoding** to generate responses that are schema-compliant, which eliminates common issues such as parsing errors and type mismatches. By defining the JSON schema, developers can streamline their application architectures, build reliable data pipelines, and confidently manage agentic workflows without the need for extensive error handling.",https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/ | https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/ | https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/,2026-03-30T20:25:22.388056+00:00,Incorrect,,,,"The response misses the requirement of enabling strict tool use (strict: true) to ensure inputs match the defined schema, which is crucial for agentic workflows."
5,"Does Amazon Bedrock support structured outputs for foundation models, and how can developers enforce a specific response format?",Claude,claude-haiku-4-5,True,"Does Amazon Bedrock support structured outputs for foundation models, and how can developers enforce a specific response format?","# Amazon Bedrock Structured Outputs

Yes, Amazon Bedrock **does support structured outputs** for foundation models. This is a core capability that fundamentally changes how developers obtain validated JSON responses.

## How It Works

Bedrock uses **constrained decoding** to enforce schema compliance. The model generates tokens that must conform to your specified JSON schema, rather than hoping the output will be valid JSON.

## Two Mechanisms Available

1. **JSON Schema Output Format**
   - Controls the model's response format
   - Use cases: Data extraction, report generation, API responses

2. **Strict Tool Use**
   - Validates tool/function parameters
   - Use cases: Agentic workflows, function calling, multi-step automation

These can be used independently or together.

## Key Benefits

- **Always valid**: No JSON parsing errors
- **Type safe**: Field types are enforced; required fields are guaranteed present
- **Reliable**: No retries needed for schema violations
- **Production ready**: Enterprise-scale deployment

## How It Works Under the Hood

1. Schema validation against JSON Schema Draft 2020-12 subset
2. Grammar compilation (first request may have latency)
3. Grammar caching for 24 hours (subsequent requests are faster)
4. Constrained generation ensuring valid JSON output

## The Shift

This represents a paradigm shift from probabilistic to **deterministic output formatting**, eliminating issues like type mismatches (e.g., `passengers: ""two""` instead of `passengers: 2`) that break downstream processing.",https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/ | https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/ | https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/,2026-03-30T20:25:26.260041+00:00,Correct,,,,"The model response accurately reflects the support for structured outputs in Amazon Bedrock and correctly details the mechanisms of enforcing a response format, aligning well with the verified reference."
5,"Does Amazon Bedrock support structured outputs for foundation models, and how can developers enforce a specific response format?",Gemma,gemma-3-27b-it,True,"Does Amazon Bedrock support structured outputs for foundation models, and how can developers enforce a specific response format?","Yes, Amazon Bedrock supports structured outputs for foundation models. Developers can enforce a specific response format using two complementary mechanisms:

1.  **JSON Schema output format:** This controls the model’s response format.
2.  **Strict tool use:** This validates tool parameters.

These features use constrained decoding to ensure responses conform to a specified JSON schema, resulting in outputs that are always valid, type-safe, and reliable. Bedrock validates the schema against a supported subset of JSON Schema Draft 2020-12 and compiles a grammar for use.",https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/ | https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/ | https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/,2026-03-30T20:25:33.267985+00:00,Correct,,,,"The model response accurately addresses the support for structured outputs and the mechanisms for enforcing a specific response format, including JSON Schema and strict tool use, consistent with the verified reference."
6,"When restoring a database snapshot in Amazon RDS or Aurora, can you now modify the backup retention period and preferred backup window during the restore process?",ChatGPT,gpt-4o-mini,True,"When restoring a database snapshot in Amazon RDS or Aurora, can you now modify the backup retention period and preferred backup window during the restore process?","Yes, when restoring a database snapshot in Amazon RDS or Aurora, you can now modify the backup retention period and preferred backup window during the restore process. This enhancement allows you to specify or modify these settings before the restore is completed, providing greater flexibility compared to previous versions where modifications could only be made after restoration.",https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/ | https://aws.amazon.com/about-aws/whats-new/2026/02/aws-backup-adds-cross-region-database-snapshot-logically-air-gapped-vaults/ | https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/,2026-03-30T20:25:36.352395+00:00,Correct,,,,"The model response accurately reflects the ability to modify settings during the restore process, aligning with the verified reference."
6,"When restoring a database snapshot in Amazon RDS or Aurora, can you now modify the backup retention period and preferred backup window during the restore process?",Claude,claude-haiku-4-5,True,"When restoring a database snapshot in Amazon RDS or Aurora, can you now modify the backup retention period and preferred backup window during the restore process?","Yes, you can now modify the backup retention period and preferred backup window during the restore process for both Amazon RDS and Aurora.

According to the documentation, this capability was introduced in February 2026. Previously, restored database instances and clusters inherited backup parameter values from snapshot metadata and could only be modified after restore was complete.

Now you can:
- **View** the backup retention period and preferred backup window settings before initiating the restore operation
- **Specify or modify** these settings when restoring database instances and clusters, eliminating the need to modify them after restoration

This feature is available for:
- All Amazon RDS database engines (MySQL, PostgreSQL, MariaDB, Oracle, SQL Server, and DB2)
- Amazon Aurora (MySQL-Compatible and PostgreSQL-Compatible editions)
- All AWS commercial regions and AWS GovCloud (US) regions where these services are supported

You can access these features through the AWS Management Console, AWS CLI, or AWS SDKs at no additional cost.",https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/ | https://aws.amazon.com/about-aws/whats-new/2026/02/aws-backup-adds-cross-region-database-snapshot-logically-air-gapped-vaults/ | https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/,2026-03-30T20:25:39.031646+00:00,Correct,,,,"The model response accurately conveys that you can modify the backup retention period and preferred backup window during the restore process, and it references the introduction of this feature in February 2026. It also correctly explains the context and significance of these changes."
6,"When restoring a database snapshot in Amazon RDS or Aurora, can you now modify the backup retention period and preferred backup window during the restore process?",Gemma,gemma-3-27b-it,True,"When restoring a database snapshot in Amazon RDS or Aurora, can you now modify the backup retention period and preferred backup window during the restore process?","Yes, according to the provided documentation (Source 1 & 3), you can now specify or modify the backup retention period and preferred backup window when restoring database instances and clusters in Amazon RDS and Aurora. This eliminates the need to modify these settings *after* the restore is complete.",https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/ | https://aws.amazon.com/about-aws/whats-new/2026/02/aws-backup-adds-cross-region-database-snapshot-logically-air-gapped-vaults/ | https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/,2026-03-30T20:25:46.748819+00:00,Correct,,,,"The model response accurately reflects the capabilities regarding modifying the backup retention period and preferred backup window during the restore process, as stated in the verified reference."
7,"Does AWS IAM Identity Center support multi-Region replication, and what must be configured before replication can be enabled in an additional Region?",ChatGPT,gpt-4o-mini,True,"Does AWS IAM Identity Center support multi-Region replication, and what must be configured before replication can be enabled in an additional Region?","Yes, AWS IAM Identity Center supports multi-Region replication. Before you can enable replication in an additional Region, you must:

1. **Replicate the customer managed AWS Key Management Service (KMS) key** to that region and configure the replica key with the necessary permissions for IAM Identity Center operations.

2. **Confirm that your encryption key** is a multi-Region customer managed AWS KMS key in the primary Region.

3. **Choose the additional Regions** where you want to replicate IAM Identity Center from a list of available Regions.

After these configurations, you can initiate the replication process.",https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/ | https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/ | https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/,2026-03-30T20:25:52.159543+00:00,Incorrect,,,,The model response incorrectly states the need to choose additional Regions from a list; the verified answer does not mention this requirement and focuses solely on replicating the KMS key with necessary permissions.
7,"Does AWS IAM Identity Center support multi-Region replication, and what must be configured before replication can be enabled in an additional Region?",Claude,claude-haiku-4-5,True,"Does AWS IAM Identity Center support multi-Region replication, and what must be configured before replication can be enabled in an additional Region?","# AWS IAM Identity Center Multi-Region Replication

Yes, AWS IAM Identity Center supports multi-Region replication. This feature is generally available and allows you to replicate workforce identities, permission sets, and other metadata across additional AWS Regions.

## Key Benefits

- **Improved Resiliency**: In the event of a service disruption in the primary Region, users can still access their AWS accounts through the access portal in an additional Region
- **Centralized Management**: Configuration continues to be managed from the primary Region
- **Better User Experience**: Deployed applications can be closer to users and datasets

## Required Configuration Before Replication

**A multi-Region customer managed AWS KMS key must be configured before enabling replication in an additional Region.**

Specifically, you must:

1. **Confirm** that your IAM Identity Center instance uses a customer managed AWS KMS key (not AWS managed)
2. **Replicate the KMS key** to the target Region first
3. **Configure permissions** on the replica key to support IAM Identity Center operations
4. **Verify** in the IAM Identity Center console (Settings > Management tab) that your encryption key is a multi-Region customer managed key

After these prerequisites are met, you can use the **Add Region** option in the console to begin replication to additional Regions.",https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/ | https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/ | https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/,2026-03-30T20:25:56.174539+00:00,Correct,,,,"The model response correctly explains that AWS IAM Identity Center supports multi-Region replication and outlines the necessary configurations, including the use of a customer-managed multi-Region AWS KMS key and the required permissions. All key aspects from the verified reference are addressed."
7,"Does AWS IAM Identity Center support multi-Region replication, and what must be configured before replication can be enabled in an additional Region?",Gemma,gemma-3-27b-it,True,"Does AWS IAM Identity Center support multi-Region replication, and what must be configured before replication can be enabled in an additional Region?","Yes, AWS IAM Identity Center supports multi-Region replication.

Before enabling replication in an additional Region, you must:

1.  Confirm your configured encryption key is a **multi-Region customer managed AWS KMS key**.
2.  **Replicate the customer managed AWS KMS key** to the additional Region and configure the replica key with the necessary permissions for IAM Identity Center operations.
3.  **Add the additional Region’s ACS URL** to your external Identity Provider (IdP) configuration (like Okta or Microsoft Entra ID).",https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/ | https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/ | https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/,2026-03-30T20:26:01.949150+00:00,Incorrect,,,,"The response correctly identifies that a multi-Region customer-managed AWS KMS key must be configured and replicated, but it introduces an incorrect requirement about adding the additional Region’s ACS URL to the IdP configuration, which is not mentioned in the verified reference. This constitutes a factual error."
8,"Which Java runtimes are supported by AWS Lambda, and which one is the latest?",ChatGPT,gpt-4o-mini,True,"Which Java runtimes are supported by AWS Lambda, and which one is the latest?","AWS Lambda currently supports the following Java runtimes:

- Java 8 (runtime identifier: `java8.al2`)
- Java 11 (runtime identifier: `java11`)
- Java 17 (runtime identifier: `java17`)
- Java 21 (runtime identifier: `java21`)
- Java 25 (runtime identifier: `java25`)

The latest supported Java runtime is **Java 25**.",https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html | https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html | https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html,2026-03-30T20:26:06.058777+00:00,Incorrect,,,,"The model response is missing critical information about the operating systems used by the runtimes (Amazon Linux 2023 and Amazon Linux 2) and does not mention the long-term support aspect, which is relevant to the context."
8,"Which Java runtimes are supported by AWS Lambda, and which one is the latest?",Claude,claude-haiku-4-5,True,"Which Java runtimes are supported by AWS Lambda, and which one is the latest?","# AWS Lambda Supported Java Runtimes

Based on the documentation, the following Java runtimes are currently supported by AWS Lambda:

1. **Java 25** (`java25`) - Amazon Linux 2023
2. **Java 21** (`java21`) - Amazon Linux 2023
3. **Java 17** (`java17`) - Amazon Linux 2
4. **Java 11** (`java11`) - Amazon Linux 2
5. **Java 8** (`java8.al2`) - Amazon Linux 2

## Latest Runtime

**Java 25** is the latest supported Java runtime.

## Additional Note

The documentation also indicates that **Java 8, 11, and 17 on AL2023** are targeted for release in Q2 2026, which suggests AWS is working on updating older Java versions to run on the newer Amazon Linux 2023 distribution.",https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html | https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html | https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html,2026-03-30T20:26:09.123081+00:00,Incorrect,,,,"The model response includes outdated information regarding future releases of Java versions for AL2023, which is not current and could mislead about supported runtimes."
